brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,
Samsung,X500,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2006  June,Discontinued,88 x 45 x 19.9 mm (3.46 x 1.77 x 0.78 in),79,2.79,Mini-SIM,TFT  65K colors,1.8 inches| 28 x 35 mm (~25.7% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,8 MB,,,,Yes,No,No,1.2,No,,No,1.1,,Removable Li-Ion 750 mAh battery,Champagne Gold| Metallic Blue| Cool Gray| Pink,,http://cdn2.gsmarena.com/vv/bigpic/samsung-x500.gif,
Samsung,D840,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  June,Discontinued,99 x 51 x 11.9 mm (3.90 x 2.01 x 0.47 in),100,3.53,Mini-SIM,TFT  256K colors,2.12 inches (~27.6% screen-to-body ratio),240 x 320 pixels (~189 ppi pixel density),,,,,microSD (dedicated slot),80 MB,,2 MP| LED flash,No,Yes,No,No,1.2| A2DP,No,,No,1.1,,Removable Li-Ion 700 mAh battery,Black| Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-d840.gif,
Samsung,C400,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2006  September,Discontinued,85.5 x 43.4 x 16 mm (3.37 x 1.71 x 0.63 in),85,2.96,Mini-SIM,TFT  65K colors,,128 x 160 pixels,,,,,No,1.8 MB,,VGA,No,No,No,No,No,No,,No,No,,Removable Li-Ion 750 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-c400.gif,
Samsung,C240,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2006  June,Discontinued,104 x 42.5 x 15.6 mm (4.09 x 1.67 x 0.61 in),68,2.4,Mini-SIM,UFB  65K colors,1.6 inches (~18.7% screen-to-body ratio),128 x 128 pixels (~113 ppi pixel density),,,,,No,1.2 MB,,,,Yes,No,No,No,No,,FM radio,No,,Removable Li-Ion 750 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-c240.gif,
Samsung,C180,GSM,GSM 900 / 1800 ,,,,Class 10,No,2007  July,Discontinued,105 x 42 x 8.9 mm (4.13 x 1.65 x 0.35 in),72,2.54,Mini-SIM,CSTN  65K colors,1.52 inches (~16.9% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,2 MB,,,,Yes,No,No,Yes,No,,No,No,,Removable Li-Ion 730 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-c180.gif,
Samsung,C170,GSM,GSM 900 / 1800 ,,,,Class 10,No,2007  May,Discontinued,105 x 42 x 8.9 mm (4.13 x 1.65 x 0.35 in),67,2.36,Mini-SIM,CSTN  65K colors,1.52 inches (~16.9% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,600 KB,,,,Yes,No,No,No,No,,FM radio,No,,Removable Li-Ion 730 mAh battery,Red| Black| Gray| Blue,40,http://cdn2.gsmarena.com/vv/bigpic/samsung-c170.gif,
Samsung,C160,GSM,GSM 900 / 1800 ,,,,Class 10,No,2007  February,Discontinued,106.5 x 43.5 x 15.4 mm (4.19 x 1.71 x 0.61 in),70,2.47,Mini-SIM,CSTN  65K colors,1.5 inches (~15.7% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,600 KB,,,,Yes,No,No,No,No,,FM radio,No,,Removable Li-Ion 800 mAh battery,Imperial Black,40,http://cdn2.gsmarena.com/vv/bigpic/samsung-c160.gif,
Samsung,C140,GSM,GSM 900 / 1800 ,,,,Class 10,No,2007  January,Discontinued,104.2 x 44.2 x 16.2 mm (4.10 x 1.74 x 0.64 in),71,2.5,Mini-SIM,UFB  65K colors,1.6 inches (~17.9% screen-to-body ratio),128 x 128 pixels (~113 ppi pixel density),,,,,No,600 KB,,,,Yes,No,No,No,No,,No,No,,Removable Li-Ion 800 mAh battery,Misty Gray| Light Gray,70,http://cdn2.gsmarena.com/vv/bigpic/samsung-c140.gif,
Samsung,D830,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  June,Discontinued,103 x 54 x 9.9 mm (4.06 x 2.13 x 0.39 in),85,3,Mini-SIM,TFT  256K colors,2.3 inches| 36 x 47 mm (~29.5% screen-to-body ratio),240 x 320 pixels (~174 ppi pixel density),,,,,microSD (dedicated slot),80 MB,,2 MP,No,Yes,No,No,1.2| A2DP,No,,No,Yes,,Removable Li-Ion 630 mAh battery,Black/Blue| Black| Red/Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-d830.gif,
Samsung,D900i,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2007,Discontinued,103.5 x 51 x 12.9 mm (4.07 x 2.01 x 0.51 in),85,3,Mini-SIM,TFT  256K colors,2.1 inches| 32 x 42 mm (~25.9% screen-to-body ratio),240 x 320 pixels (~190 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),60 MB,,3.15 MP| autofocus| LED flash,No,Yes,No,No,2.0| A2DP,No,,FM radio,1.1,,Removable Li-Ion 800 mAh battery,Black| Wine-Red,90,http://cdn2.gsmarena.com/vv/bigpic/samsung-d900i.gif,
Samsung,D900,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  June,Discontinued,103.5 x 51 x 12.9 mm (4.07 x 2.01 x 0.51 in),85,3,Mini-SIM,TFT  256K colors,2.1 inches| 32 x 42 mm (~25.9% screen-to-body ratio),240 x 320 pixels (~190 ppi pixel density),,,,,microSD (dedicated slot),60 MB,,3.15 MP| autofocus| LED flash,No,Yes,No,No,2.0| A2DP,No,,No,1.1,,Removable Li-Ion 800 mAh battery,Black/Silver| Blue| Red/Gray,130,http://cdn2.gsmarena.com/vv/bigpic/samsung-d900.gif,
Samsung,X820,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  May,Discontinued,113 x 50 x 6.9 mm (4.45 x 1.97 x 0.27 in),66,2.33,Mini-SIM,TFT  256K colors,1.8 inches| 35 x 28 mm (~18.0% screen-to-body ratio),220 x 176 pixels (~157 ppi pixel density),,,,,No,80 MB,,2 MP,No,Yes,No,No,1.2| A2DP,No,,No,Yes,,Removable Li-Po 630 mAh battery,Black/Blue| Silver| Pink,110,http://cdn2.gsmarena.com/vv/bigpic/samsung-x820.gif,
